name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130
agg_tech_lvl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
capgain,-2229.1433,-2353.2271,-2318.9319,-1382.3916,-2221.2681,-1503.3656,-1717.0505,-2227.1836,-2283.571,-2207.2358,-2438.6738,-3514.9941,-3714.0884,-3801.9612,-3234.2156,-3240.1914,-2325.0591,-3199.4692,-3931.8162,-4096.1992,-3001.8408,-2848.6245,-3578.9846,-3732.5784,-3667.0869,-3405.5864,-3286.5576,-3241.6733,-3359.9331,-3397.2441,-3415.4509,-3419.8643,-3585.1509,-3686.7559,-3728.7449,-3775.6394,-3849.0171,-3872.9036,-3927.2134,-3981.8291,-4036.1809,-4046.0298,-4059.9004,-4082.8909,-4104.7417,-4137.2847,-4157.5811,-4174.4097,-4206.5747,-4240.0068,-4282.3687,-4334.8311,-4376.7842,-4433.46,-4458.4048,-4499.2852,-4523.7808,-4561.4492,-4593.1733,-4623.9873,-4644.1279,-4643.4082,-4674.4844,-4699.2822,-4712.603,-4753.1274,-4773.0835,-4789.7856,-4806.6543,-4823.9741,-4840.6382,-4807.0752,-4837.5859,-4864.9136,-4891.4282,-4914.6279,-4938.6934,-4962.7783,-4984.5166,-5002.4463,-5020.1987,-5018.4575,-5029.686,-5042.7319,-5050.3188,-5058.0425,-5063.2812,-5066.271,-5065.5312,-5071.3506,-5077.3145,-5045.7773,-5076.2192,-5124.9448,-5164.189,-5262.5107,-5298.0913,-5328.7505,-5343.0039,-5330.0566,-5309.4805,-5288.8193,-5265.4258,-5239.1196,-5241.7842,-5246.9639,-5253.2744,-5260.7803,-5269.0762,-5324.6821,-5384.084,-5454.6538,-5534.7046,-5632.4897,-5533.9761,-5419.3521,-5284.249,-5126.2812,-4944.6748,-4915.3462,-4886.8267,-4864.0786,-4840.999,-4822.5854,-4803.1582,-4790.2959,-4778.6572,-4762.5771,-4750.8799,-4741.4614,-4733.8037,-4722.7437,-4715.021,-4708.4346,-4699.1309,-4695.5962,-4689.5713,-4677.7998,-4677.0483,-4667.8789,-4660.9341
cg_rate,-0.046487402,-0.049919941,-0.049949486,-0.029453762,-0.04744241,-0.031522423,-0.035434462,-0.045764796,-0.046594806,-0.044393778,-0.048306432,-0.069629021,-0.073395401,-0.074660629,-0.062270191,-0.060663491,-0.041426729,-0.055176932,-0.066863395,-0.068994664,-0.050088264,-0.046995703,-0.059279855,-0.06191849,-0.060624477,-0.055646226,-0.052770611,-0.050970074,-0.05182948,-0.051548529,-0.05107886,-0.050511584,-0.052514076,-0.053675659,-0.054007847,-0.054469377,-0.055323295,-0.055419192,-0.055942159,-0.056455404,-0.056947991,-0.056762382,-0.056602608,-0.056562491,-0.056505438,-0.056607686,-0.05654576,-0.056443471,-0.056571994,-0.056739382,-0.057051722,-0.057526998,-0.057873964,-0.058436122,-0.058566757,-0.058910515,-0.059028178,-0.059319086,-0.059524905,-0.059709247,-0.059737533,-0.059467245,-0.059607387,-0.059664369,-0.059564088,-0.059846688,-0.059878558,-0.059879396,-0.059893209,-0.059926134,-0.059970055,-0.059383079,-0.059587259,-0.059750147,-0.059905007,-0.060021505,-0.060153801,-0.060293723,-0.060412142,-0.060490873,-0.060575612,-0.06042061,-0.060434844,-0.060486276,-0.060484927,-0.060499694,-0.060497068,-0.060478508,-0.060423926,-0.060461834,-0.060517188,-0.060118075,-0.060431771,-0.06094845,-0.061337851,-0.062463805,-0.062841102,-0.063159287,-0.063275285,-0.063035876,-0.062675402,-0.062292043,-0.061860006,-0.06138324,-0.061263934,-0.06118742,-0.061133396,-0.061098482,-0.061073534,-0.061626654,-0.062235478,-0.06297195,-0.06379988,-0.064801537,-0.063341111,-0.06155001,-0.059430283,-0.057004195,-0.054309256,-0.053402297,-0.052583411,-0.051895387,-0.051260896,-0.050726153,-0.05022217,-0.049825188,-0.04947399,-0.049103063,-0.048802081,-0.048546761,-0.048329461,-0.048093475,-0.047907241,-0.047746807,-0.047570612,-0.047466092,-0.047347624,-0.047178611,-0.047133323,-0.04701104,-0.046920262
com_out(c01),364.58582,354.71375,359.37411,356.03354,386.103,360.44189,388.07669,377.03915,368.5748,366.92139,362.62476,367.81396,334.71747,335.62674,371.34958,365.03613,345.53326,362.07349,365.62854,365.38727,375.01285,395.80368,404.24432,410.1217,414.94977,420.5968,426.52817,432.79083,438.08209,443.47403,449.34988,455.80496,461.71408,466.63843,471.42627,476.14935,480.72192,485.34235,489.93964,494.47684,499.06821,503.64606,508.10263,512.46838,516.81897,521.16608,525.3396,529.3609,533.3335,537.06012,540.72131,544.28296,547.67883,551.07031,554.33917,557.66608,560.90051,564.22516,567.59216,571.00031,574.41876,578.15765,581.9303,585.69244,589.30768,593.10168,596.87225,600.58167,604.25995,607.87659,611.46021,615.14789,618.70715,622.15253,625.53876,628.88715,632.18079,635.43268,638.65784,641.86224,645.07104,648.3598,651.64746,654.8559,658.00891,661.13251,664.20477,667.28522,670.37134,673.43182,676.44421,678.57941,680.70154,682.60077,684.36639,685.27795,686.05371,686.69263,687.35388,688.05518,688.77307,689.47668,690.17584,690.86713,691.53827,692.20154,692.85419,693.48529,694.07959,694.67456,695.27045,695.86871,696.48822,697.09662,697.56738,697.82483,697.92993,697.84906,697.54663,697.21637,696.88184,696.51453,696.14716,695.7572,695.35663,694.95471,694.53076,694.1347,693.71417,693.29657,692.88519,692.48999,692.11194,691.75366,691.40656,691.08875,690.80231,690.52167,690.27576,690.03992,689.82336
com_out(c02),71.649338,62.692627,54.71386,53.659115,50.234612,52.269276,58.403149,50.005981,38.226681,43.875427,58.286427,53.49461,44.271202,42.34169,51.399487,64.391251,88.043648,98.767326,117.15816,88.840721,104.29215,115.61337,119.34893,122.216,125.20895,129.49457,134.46059,138.22089,140.8443,142.99457,145.08922,147.48714,149.86124,152.56723,155.17841,157.49461,159.91737,162.16885,164.44444,166.7191,168.94867,170.96913,172.75615,174.40337,175.93932,177.44411,178.85896,180.175,181.45702,182.74805,184.07103,185.47968,186.90121,188.39949,189.81073,191.24561,192.62784,194.04268,195.47415,196.90993,198.30556,199.57542,200.84337,202.10646,197.41487,198.52707,199.59364,200.63658,201.65471,202.62553,203.50125,205.04898,206.53561,207.93356,209.2177,210.42021,211.52196,212.54449,213.54634,214.49924,215.38864,216.13086,216.81892,217.4597,218.01974,218.58304,219.13947,219.69441,220.23242,220.77325,221.24519,222.38652,223.53448,224.47968,225.25838,226.11427,226.79118,227.30786,227.88904,228.38272,228.87521,229.25156,229.51271,229.70532,229.99043,230.3407,230.7746,231.27487,231.85081,232.756,234.01114,235.6291,237.6521,240.11311,241.75818,242.57805,242.57663,241.67911,239.94701,238.39485,237.01393,235.77957,234.67078,233.68924,232.80952,232.02704,231.32596,230.69109,230.12013,229.60696,229.14006,228.70256,228.31229,227.94511,227.60054,227.28014,226.97821,226.68585,226.40445,226.12741,225.84476
com_out(c03),39.167946,37.72102,40.419029,43.358952,40.439236,36.81929,47.839207,53.174934,45.301083,41.867626,66.002625,88.702782,58.380695,100.13142,126.3045,154.2457,161.3421,137.30608,155.03473,97.856476,110.85246,109.75342,111.38435,114.55875,116.2528,118.89043,122.44137,125.40577,127.63944,129.59439,131.72456,134.21098,136.50023,138.9155,141.21732,143.02824,144.80273,146.42953,148.00635,149.52451,150.97528,152.2818,153.42812,154.48079,155.45253,156.39392,157.25916,158.05791,158.82147,159.54398,160.24265,160.93515,161.58266,162.21193,162.73936,163.25455,163.70258,164.14645,164.58553,165.00922,165.39993,165.74377,166.07397,166.39992,158.25121,158.53253,158.78568,159.01935,159.23676,159.42281,159.54533,159.98988,160.38474,160.70415,160.94078,161.10989,161.20651,161.24374,161.33136,161.40173,161.43346,161.37839,161.29843,161.18883,161.03914,160.88666,160.73059,160.5775,160.42203,160.25589,160.0468,160.15166,160.25529,160.22057,160.07822,159.86119,159.52766,159.08687,158.67166,158.24828,157.87521,157.48199,156.94733,156.3752,155.83833,155.32848,154.84769,154.39854,153.97939,153.64153,153.39388,153.2437,153.19493,153.26088,153.18576,152.97585,152.62914,152.1389,151.50339,150.92903,150.41426,149.9559,149.5416,149.175,148.84972,148.5576,148.29404,148.05318,147.84177,147.64612,147.46878,147.30081,147.14804,147.00208,146.86629,146.73546,146.61253,146.49561,146.37973,146.26479,146.15218
com_out(c04),42.477364,40.336132,38.294125,37.413715,34.710758,35.130821,32.32066,29.456202,25.620928,24.239738,24.672791,26.518507,18.809088,19.414011,24.036766,29.63751,31.472052,29.950525,38.700043,31.129906,35.562527,35.507187,37.132446,38.712421,40.495602,42.866489,45.487133,47.769245,49.500736,51.210377,52.803867,54.447762,56.151619,57.779095,59.244762,60.968872,62.728046,64.406708,66.076385,67.740623,69.39579,70.895584,72.227226,73.470589,74.661087,75.834854,76.936455,77.995354,79.056442,80.103767,81.158272,82.249847,83.316574,84.420074,85.45153,86.463501,87.414528,88.371208,89.31221,90.237709,91.11338,91.920319,92.712456,93.494537,93.554733,94.194168,94.802246,95.396896,95.966003,96.47892,96.901581,97.627197,98.316978,98.955231,99.555382,100.11776,100.64056,101.13423,101.5964,102.03627,102.45055,102.78745,103.10977,103.41457,103.7057,104.00397,104.30179,104.60317,104.90639,105.19189,105.42197,106.20282,107.01221,107.73269,108.39905,108.88441,109.28934,109.62749,110.00427,110.33362,110.64623,110.89931,111.10027,111.26318,111.47336,111.72318,112.02287,112.36932,112.77204,113.36716,114.17661,115.22353,116.52828,118.12341,119.30803,120.06047,120.36232,120.18428,119.49002,118.85221,118.27052,117.74209,117.25893,116.82749,116.4358,116.08655,115.76593,115.47074,115.20821,114.96843,114.74476,114.52355,114.31274,114.10544,113.9113,113.72092,113.5356,113.34976,113.16523,112.97276,112.77657
com_out(c05),48.165409,50.708946,54.754181,58.345726,60.942669,62.889191,60.926929,61.748459,61.491947,61.676571,71.375496,84.226669,88.980865,97.024506,141.25818,179.69653,224.92891,244.17773,275.40488,206.30316,196.69553,191.87987,205.6562,214.38164,222.96935,232.40472,239.92239,240.55359,235.0219,230.31468,224.77286,220.2281,217.87411,216.33543,213.99162,215.0161,216.70496,217.60289,218.59555,219.63188,220.60989,220.93549,220.48682,219.72363,218.79507,217.91925,216.90468,215.75406,214.79196,214.0694,213.67032,213.81119,214.15186,214.99196,215.70787,216.55827,217.33577,218.31819,219.39394,220.50792,221.52829,222.23711,222.99384,223.82939,222.96523,223.1499,223.23465,223.31512,223.30695,223.02055,222.27751,223.53706,224.64923,225.52007,226.23837,226.82814,227.30099,227.6795,227.94044,228.11613,228.20818,227.94003,227.62978,227.25648,226.82436,226.41716,226.00836,225.58659,225.13852,224.61305,223.83351,226.22285,228.68889,230.74704,232.55733,233.82367,234.95418,235.79245,236.84727,237.54161,237.84848,237.82588,237.43675,236.6935,236.21494,235.98058,235.99007,236.24757,236.76813,238.28633,240.85892,244.55112,249.43982,255.6293,259.51184,261.10986,260.37543,257.30307,251.83676,246.95877,242.62479,238.78146,235.36774,232.3457,229.64264,227.22426,225.05338,223.10486,221.33963,219.75716,218.30124,216.96249,215.74171,214.58337,213.51199,212.47934,211.51234,210.56798,209.65106,208.7269,207.80359
com_out(c06),334.8367,341.66583,356.01996,394.99643,387.44193,402.31229,401.20078,404.1398,425.94586,460.29745,490.26532,535.38403,470.13519,428.68228,434.63324,445.69321,442.17438,413.73672,408.95865,383.56421,381.67477,390.07159,403.67361,413.00952,422.49963,436.06375,450.94815,462.71231,470.78177,478.04385,485.04062,493.00131,501.39722,510.70312,519.7757,529.09619,538.32617,546.95569,555.34705,563.50812,571.388,578.58917,585.16809,591.32135,597.11841,602.70264,608.02704,613.09857,618.0022,622.87195,627.73846,632.54877,637.28217,641.9137,646.2735,650.47461,654.47681,658.37531,662.18774,665.90363,669.46881,672.64746,675.72552,678.72339,679.39636,682.19281,684.92999,687.65253,690.39252,693.08594,695.64551,699.08173,702.22302,705.02307,707.4668,709.59711,711.43188,713.00903,714.66425,716.19861,717.55511,718.52649,719.39075,720.16516,720.78815,721.45221,722.13251,722.89557,723.73975,724.64276,725.45624,726.89813,728.14313,728.67371,728.57593,728.07336,726.99792,725.40393,723.82892,722.20947,721.05121,719.73743,718.33771,716.92218,715.66284,714.55231,713.55353,712.65698,711.8576,711.47107,711.45178,711.75946,712.38965,713.3136,712.84857,711.11389,708.27185,704.42737,699.68591,695.50336,691.80408,688.52234,685.62152,683.05804,680.76312,678.742,676.93524,675.31238,673.86804,672.59021,671.4339,670.38684,669.45251,668.59308,667.83386,667.14514,666.53784,665.95325,665.46283,664.99738,664.57117
com_out(c07),161.11443,154.57335,157.43402,167.33516,154.89136,151.31708,151.71576,147.30351,145.9016,152.13321,173.28595,190.70041,162.40291,188.21114,221.45543,250.07527,246.04277,226.88681,236.43146,185.62674,191.49095,190.91132,197.57465,204.28453,209.40073,216.43091,224.59116,231.36885,236.44669,240.93016,245.36505,250.24197,254.8631,259.70459,264.25085,268.25864,272.14127,275.65121,278.99283,282.17218,285.1796,287.88022,290.2908,292.52332,294.60181,296.60965,298.50235,300.27155,301.96051,303.60693,305.21356,306.7998,308.31161,309.77194,311.05664,312.2793,313.37961,314.44666,315.49414,316.50397,317.46954,318.30682,319.12106,319.93362,314.58813,315.27896,315.93466,316.56766,317.18652,317.75851,318.22241,319.28003,320.21417,320.98544,321.58191,322.03433,322.33563,322.51151,322.85007,323.1702,323.41663,323.49088,323.51962,323.49289,323.39868,323.30112,323.20996,323.13522,323.05667,322.98068,322.82843,323.22769,323.58844,323.63449,323.42316,323.11389,322.55579,321.76434,321.01575,320.20395,319.41281,318.56131,317.68057,316.83215,316.06351,315.35474,314.71277,314.1326,313.6152,313.30411,313.21191,313.33484,313.67395,314.25504,314.27762,313.77472,312.77829,311.31696,309.4024,307.68475,306.15924,304.80377,303.59012,302.51587,301.5618,300.70663,299.94229,299.24652,298.62894,298.06439,297.556,297.08279,296.65427,296.25293,295.88284,295.53625,295.21915,294.9205,294.63864,294.36401,294.10703
