name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130
"pb(c01,i01)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i02)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i03)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i04)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i05)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i06)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i07)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i08)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i09)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
"pb(c01,i10)",1.3711748,1.3203653,1.3064734,1.3515687,1.3590411,1.3595364,1.395936,1.392678,1.3526169,1.2837892,1.2761425,1.2712584,1.1823071,1.1405227,1.2294254,1.1790454,1.1902733,1.2401983,1.3215963,1.2892433,1.3372464,1.3511193,1.3436128,1.3216974,1.2944957,1.2709414,1.2489561,1.2269759,1.2024708,1.1786952,1.1566365,1.1368456,1.1161016,1.0954951,1.0754659,1.0557979,1.0359402,1.0163209,0.99660289,0.97673833,0.95670879,0.93684018,0.91733688,0.89840156,0.88013279,0.86250651,0.8455317,0.82929069,0.81362206,0.79839814,0.78352213,0.76884383,0.75444633,0.74015093,0.72614026,0.71240789,0.69893312,0.68573701,0.67277068,0.66006947,0.64782202,0.63590151,0.62434047,0.61313421,0.60281271,0.59219003,0.58188683,0.57187241,0.56214535,0.55265516,0.54338795,0.53484774,0.52634865,0.5179562,0.50963628,0.50139683,0.49323523,0.48517072,0.47719085,0.46932364,0.46154583,0.45411694,0.44678989,0.43955797,0.43243337,0.42542344,0.41853157,0.41176891,0.40514517,0.39860436,0.39215276,0.38604581,0.37988222,0.37354368,0.36710781,0.36034772,0.35353112,0.34668788,0.33993822,0.33337724,0.32705969,0.32098076,0.31515747,0.30958879,0.30421707,0.29892626,0.29379666,0.28876927,0.28378949,0.27882418,0.27375141,0.26854956,0.26321581,0.25771388,0.25261557,0.24804798,0.24409336,0.24081005,0.23828726,0.23607761,0.23415144,0.23246941,0.2309888,0.22969073,0.22855616,0.2275551,0.22666126,0.22587094,0.22519127,0.22458299,0.22404699,0.22357316,0.22316077,0.22279425,0.22248092,0.22220404,0.22195876,0.22176252,0.22158277,0.22143669,0.2213195
