name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130
"int_qty(c01,i01)",50.764587,52.103848,52.052685,50.663837,54.936035,52.330528,53.879066,54.053429,57.775223,63.539268,61.153019,61.907497,59.245781,58.308533,56.525391,60.460938,55.192009,52.729809,47.044617,50.718525,47.451202,50.749855,52.729595,55.031494,57.439171,59.781097,62.141685,64.705696,67.435272,70.268929,73.171494,76.084053,79.05825,81.933022,84.83532,87.815544,90.889809,94.0914,97.431557,100.92242,104.60565,108.43366,112.37209,116.38502,120.4705,124.6154,128.79024,132.92735,137.1004,141.28265,145.5278,149.85098,154.23026,158.74008,163.34239,168.06207,172.88882,177.84708,182.95221,188.19498,193.50566,199.01903,204.62164,210.29709,215.66426,221.52901,227.46086,233.45476,239.51454,245.64714,251.87021,257.89291,264.05008,270.3121,276.73169,283.3172,290.07068,296.98065,304.06653,311.31616,318.76648,326.2243,333.86285,341.64703,349.58774,357.67908,365.90994,374.29846,382.83887,391.56735,400.47455,408.67432,417.23602,426.23358,435.65372,445.276,455.31787,465.76166,476.51593,487.50037,498.59567,509.76309,520.9494,532.12372,543.2691,554.66907,566.09741,577.69568,589.60181,601.78198,614.63147,628.27612,642.79681,658.35919,673.71436,688.24249,701.54028,713.18359,722.59039,730.9519,738.3349,744.81616,750.55939,755.58923,759.9754,763.82916,767.22485,770.23303,772.75659,774.9798,776.9007,778.57477,780.00018,781.24731,782.27795,783.17621,783.96661,784.55573,785.10052,785.51147,785.8161
"int_qty(c01,i02)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i04)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i06)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i07)",0.047819369,0.042485271,0.038300812,0.032563027,0.021900894,0.015259719,0.0086196717,0.0024992155,0.0013781053,0.0011164736,0.00084521918,0.00076419144,0.00079012598,0.00083744567,0.0007234629,0.00085768726,0.00065403298,0.00031150019,0.00016332396,0.00031068196,0.00062763254,0.0010029773,0.0014728375,0.0020174971,0.0024519286,0.0028299706,0.0031794398,0.0035675345,0.0040453095,0.0046603968,0.0054298351,0.0063557033,0.0073757111,0.0083917938,0.0094176745,0.010409082,0.011350221,0.012266831,0.01313005,0.013951563,0.014745473,0.015741769,0.016874932,0.018124625,0.019469513,0.020885918,0.022353651,0.023869948,0.025416391,0.026969198,0.028530562,0.030104145,0.031659339,0.033235576,0.034792576,0.036355279,0.037910059,0.03948782,0.041073512,0.042679138,0.044274807,0.046310607,0.04834538,0.050400235,0.050865714,0.052884929,0.054909993,0.05694269,0.058977973,0.061012723,0.063026972,0.064985238,0.066942729,0.068928696,0.070944868,0.07300467,0.075094737,0.077200182,0.07941778,0.081666745,0.083978772,0.086282291,0.088650346,0.091070585,0.093551688,0.096086316,0.098670341,0.10130873,0.10402753,0.10676171,0.10954457,0.11235546,0.11523625,0.1182255,0.12132996,0.12371022,0.12613541,0.12859422,0.13105011,0.13351355,0.13595492,0.13837488,0.14053831,0.14262022,0.14459836,0.14658405,0.14849554,0.15038459,0.15225308,0.15405287,0.15586926,0.15760052,0.15933414,0.16099977,0.16277911,0.16451022,0.16629967,0.16808638,0.16980778,0.17132406,0.17271172,0.17389229,0.17502725,0.17599721,0.17689759,0.17763135,0.17832997,0.17904101,0.17952926,0.18001562,0.18045777,0.1808977,0.18123916,0.18159375,0.1819035,0.18211922,0.18233508,0.18260543,0.18275166,0.18290451,0.18306009
"int_qty(c01,i08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"int_qty(c01,i09)",0.973782,1.2367388,1.4744551,1.5312845,1.4232979,1.4679635,1.2613204,1.2138994,1.2236902,1.2338824,1.3286849,1.5796158,1.8001733,2.0403934,2.0252986,2.2183056,2.0410106,1.62948,1.5971642,1.6958679,1.6217431,1.6232095,1.7525034,1.8787483,2.0194707,2.1760926,2.3262091,2.4238546,2.4685979,2.4967129,2.5021582,2.5019407,2.5053678,2.5098166,2.5065217,2.5297556,2.5729861,2.6325183,2.7191892,2.8363814,2.9848471,3.1539686,3.3362658,3.5282671,3.7230043,3.9122648,4.0850158,4.2339482,4.3584843,4.4572735,4.5344057,4.5971098,4.6461835,4.6931787,4.7356067,4.7877622,4.854156,4.9456444,5.0647039,5.2143021,5.3879533,5.577539,5.7835755,5.9991179,6.1817584,6.3688293,6.5347795,6.6768222,6.7894711,6.868824,6.9119463,6.9892125,7.0549426,7.1112089,7.1673141,7.2318821,7.3113365,7.41085,7.5327792,7.6770267,7.8414016,8.005353,8.1787739,8.3541927,8.5231447,8.6823931,8.826438,8.9501476,9.0512934,9.1307945,9.1836348,9.3464031,9.5117626,9.6696434,9.8298082,10.008434,10.196724,10.399663,10.637175,10.881979,11.127263,11.370196,11.601369,11.81334,12.029494,12.25109,12.468322,12.683264,12.89951,13.156115,13.468854,13.849363,14.311125,14.870841,15.310437,15.620333,15.794793,15.823157,15.6875,15.576999,15.488373,15.414807,15.352872,15.297134,15.241556,15.182139,15.117583,15.046611,14.96588,14.881498,14.791984,14.702338,14.615193,14.532437,14.457209,14.39028,14.334798,14.287628,14.249346,14.215827,14.185055
"int_qty(c01,i10)",12.555819,12.999958,14.298639,15.207313,14.883633,14.599804,13.573174,13.654238,14.835103,15.628512,14.65486,14.982841,15.691982,16.330774,16.130186,17.24218,15.837788,13.763322,11.952235,10.374886,10.335961,11.214902,12.211244,13.158563,14.171436,15.242156,16.309776,17.228706,17.975544,18.66659,19.266848,19.822227,20.378305,20.893343,21.347462,21.861982,22.418676,22.983168,23.601965,24.283699,25.045786,25.866819,26.716932,27.594334,28.495819,29.416649,30.33161,31.229628,32.121723,33.003201,33.890423,34.799809,35.719864,36.685146,37.659882,38.672218,39.718601,40.819862,41.979065,43.186428,44.417755,45.669819,46.93639,48.196983,49.286022,50.442127,51.546341,52.597816,53.593456,54.52903,55.404373,56.404041,57.419086,58.453457,59.533813,60.672016,61.88039,63.16502,64.533791,65.975113,67.491516,69.005486,70.561798,72.135902,73.71048,75.277084,76.822548,78.334274,79.802582,81.231369,82.60009,84.261673,85.979813,87.713341,89.488564,91.343582,93.254974,95.232475,97.342941,99.48455,101.63008,103.77553,105.90927,107.99441,110.13674,112.35883,114.62909,116.9653,119.3872,122.04621,125.02782,128.37613,132.16019,136.45485,140.29149,143.53665,146.08575,147.82047,148.59868,149.26956,149.84972,150.33693,150.76208,151.11954,151.41043,151.64662,151.84009,151.99588,152.09558,152.17311,152.21913,152.25191,152.27003,152.27528,152.27533,152.27444,152.27585,152.25856,152.24635,152.20572,152.14417
