name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
"kalf_o(k,i01)",0.0085701998,0.026563,0.036079001,0.037345,0.033565,0.045818999,0.055231001,0.050115999,0.052839,0.05356,0.054637998,0.072800003,0.11067,0.13842,0.11665,0.10761,0.097358003,0.092545003,0.10493,0.097979002,0.094051003,0.11282,0.11316,0.10838,0.12748,0.13794,0.15112001,0.16283,0.15007,0.14486,0.13538,0.12540001,0.13548,0.12374,0.12576,0.11126,0.12428,0.11203,0.10108,0.094305001,0.098678,0.095078997,0.099032,0.13029,0.14244001,0.13732,0.13417999,0.13762,0.12929,0.11708,0.12879001,0.13324,0.13219,0.13112,0.13056,0.13027,0.13004,0.12977999,0.12947001,0.12909999,0.12872,0.12830999,0.12791,0.12751999,0.12715,0.1268,0.12648,0.12617999,0.1259,0.12565,0.12542,0.12521,0.12501,0.12484,0.12468,0.12454,0.12441,0.1243,0.12419,0.1241,0.12401,0.12394,0.12387,0.12381,0.12375,0.1237,0.12365,0.12361,0.12357,0.12354,0.12351,0.123483,0.1234587,0.12343683,0.12341715,0.12339943,0.12338349,0.12336914,0.12335622,0.1233446,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414,0.12333414
"kalf_o(k,i02)",0.13833,0.24022999,0.25136,0.24989,0.24429999,0.23658,0.22498,0.22385,0.23549999,0.21627,0.22712,0.22764,0.22194,0.21522,0.24685,0.24957,0.24653,0.24845999,0.22697,0.23637,0.24841,0.26155999,0.22371,0.21589001,0.23120999,0.25951001,0.23317,0.2622,0.27505001,0.28167999,0.27485999,0.23718999,0.21842,0.22844,0.23898999,0.24044,0.25141001,0.25424001,0.22446001,0.20712,0.24778,0.26076001,0.25972,0.28443,0.30783999,0.32300001,0.36147001,0.34358001,0.35479999,0.30574,0.29815999,0.29234999,0.28527001,0.27846,0.27347001,0.27013001,0.26774999,0.26587999,0.26438001,0.26320001,0.26229,0.26159,0.26104999,0.26063001,0.26030001,0.26003999,0.25985,0.25968999,0.25957,0.25948,0.25940999,0.25935,0.25931001,0.25928,0.25924999,0.25922999,0.25922,0.25920001,0.25918999,0.25918999,0.25918001,0.25918001,0.25917,0.25917,0.25917,0.25917,0.25917,0.25917,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001,0.25916001
"kalf_o(k,i03)",0.036952998,0.046826001,0.045504,0.054395001,0.042899001,0.033092,0.038012002,0.046576999,0.069735996,0.042116001,0.040089,0.030105,0.015057,0.0020916001,0.031776998,0.044620998,0.021583,0.030704999,0.022891,0.011902,0.041349001,0.038371,0.030044001,0.04197,0.059262998,0.092372999,0.055447001,0.054614998,0.073843002,0.10102,0.10335,0.059397999,0.028261,0.051966999,0.078138001,0.068898,0.082589,0.098918997,0.047826,0.014387,0.051782999,0.12158,0.086889997,0.088638,0.11132,0.12969001,0.15978,0.15256999,0.19543,0.13131,0.11683,0.1183,0.096583001,0.095233999,0.092598997,0.087888002,0.085501,0.083664998,0.081974998,0.080782004,0.079898,0.079213999,0.078718998,0.078368001,0.078120999,0.077956997,0.077853002,0.077794999,0.077767998,0.077765003,0.077776998,0.077799,0.077826999,0.077858001,0.077890001,0.077922001,0.077950999,0.077978998,0.078004003,0.078025997,0.078046001,0.078064002,0.078079,0.078092001,0.078102998,0.078111999,0.078120001,0.078126997,0.078132004,0.078137003,0.078140996,0.078144602,0.078147843,0.078150757,0.078153379,0.078155741,0.078157865,0.078159779,0.0781615,0.07816305,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451,0.078164451
"kalf_o(k,i04)",0.027264999,0.063588001,0.075851999,0.09217,0.083146997,0.074207,0.083477996,0.070517004,0.073183,0.063141003,0.069715001,0.060353,0.058026999,0.071801998,0.13349999,0.10644,0.078529999,0.098803997,0.095233999,0.084766999,0.073316999,0.055440001,0.057165999,0.077150002,0.082828999,0.081965998,0.077326,0.065687999,0.094160996,0.099007003,0.096675001,0.10135,0.1128,0.11391,0.11962,0.12608001,0.13689999,0.14806999,0.18528,0.20545,0.226,0.23235001,0.2221,0.20145001,0.20771,0.2251,0.23774,0.21893001,0.22347,0.23849,0.23999999,0.22479001,0.21748,0.21522,0.21533,0.21596,0.21618,0.21574999,0.21479,0.21356,0.21225999,0.21101999,0.20988999,0.20886999,0.20794,0.20706999,0.20624,0.20544,0.20467,0.20393001,0.20321999,0.20254,0.20189001,0.20127,0.20067,0.2001,0.19956,0.19904,0.19855,0.19807,0.19762,0.19718,0.19677,0.19637001,0.19599,0.19562,0.19528,0.19494,0.19463,0.19431999,0.19403,0.19376899,0.19353411,0.19332269,0.19313242,0.19296119,0.19280706,0.19266835,0.19254352,0.19243117,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005,0.19233005
"kalf_o(k,i05)",-0.0023645,0.013545,0.030474,0.043798,0.043198999,0.035349,0.044149,0.038182002,0.045906,0.032164,0.050960999,0.044946998,0.040291999,0.053179,0.064719997,0.048184998,0.04143,0.043497998,0.035507001,0.021931,0.022670999,0.032878999,0.045697,0.042927001,0.050443999,0.057477001,0.040270999,0.047350001,0.067001,0.070486002,0.064176001,0.062757,0.069836996,0.072858997,0.083506003,0.087070003,0.087251998,0.088155001,0.099944003,0.091449,0.088140003,0.092878997,0.085721001,0.062472001,0.046103999,0.033714,0.035840999,0.032991,0.042110998,0.062089998,0.071402997,0.062812999,0.059703,0.058499001,0.057867002,0.057372998,0.056919001,0.056504,0.056143999,0.055849999,0.05562,0.055447001,0.055319998,0.055229999,0.055167001,0.055124,0.055094998,0.055075001,0.055062,0.055052999,0.055047002,0.055043001,0.055041,0.055039,0.055038001,0.055036999,0.055036999,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001,0.055036001
"kalf_o(k,i06)",0.0049104001,0.044307001,0.068627998,0.074187003,0.087130003,0.080664001,0.074134998,0.088583,0.095795996,0.080137998,0.089571998,0.095060997,0.12898,0.11215,0.083452001,0.095861003,0.097827002,0.086787999,0.078760996,0.049095999,0.057891,0.087600999,0.10469,0.091785997,0.11921,0.1451,0.15989,0.14732,0.15146001,0.15663999,0.14835,0.13975,0.13688999,0.14797001,0.15684,0.16520999,0.14083,0.11509,0.076971002,0.039526999,0.015892001,0.00099303003,0.077714004,0.15756001,0.20124,0.17852999,0.22036999,0.24563,0.22387999,0.24155,0.24442001,0.25617,0.25143999,0.24212,0.23319,0.22609,0.22082999,0.21701001,0.21421,0.21211,0.21047001,0.20913,0.20801,0.20702,0.20615,0.20535,0.20462,0.20394,0.2033,0.20271,0.20215,0.20163,0.20113,0.20067,0.20023,0.19982,0.19943,0.19907001,0.19871999,0.19840001,0.19809,0.1978,0.19753,0.19727001,0.19702999,0.19679999,0.19659001,0.19639,0.1962,0.19602001,0.19585,0.19569699,0.19555929,0.19543537,0.19532384,0.19522345,0.1951331,0.19505179,0.19497861,0.19491275,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348,0.19485348
"kalf_o(k,i07)",0.0078915004,0.020698,0.024003999,0.038412999,0.042962,0.051231999,0.044628002,0.052053001,0.051231999,0.042954002,0.044349,0.056086998,0.0022273001,-0.026045,-0.042576,-0.028278001,-0.025605001,-0.028376,-0.049959999,-0.051034,-0.030014001,-0.025450001,-0.015261,0.0052959002,0.033172,0.061918002,0.084638998,0.075819001,0.053040002,0.064511999,0.068333,0.058297999,0.060534999,0.062323,0.040502999,0.043777999,0.030374,0.01935,0.026605001,0.028915999,-0.011724,-0.029167,0.017382,-0.031179,-0.032319002,-0.0266,-0.022483001,0.00024913001,0.012395,0.047141001,0.064579003,0.058162998,0.054804001,0.051348999,0.048501,0.046043999,0.043958001,0.042181,0.040665001,0.039368998,0.038258001,0.037303001,0.036478002,0.035765,0.035145,0.034605999,0.034136001,0.033723999,0.033363,0.033046,0.032767002,0.032520998,0.032304,0.032111999,0.031941999,0.031792,0.031658001,0.031539001,0.031434,0.031339999,0.031256001,0.031182,0.031115999,0.031057,0.031004,0.030957,0.030915,0.030878,0.030843999,0.030813999,0.030788001,0.0307646,0.030743539,0.030724587,0.030707527,0.030692175,0.030678358,0.030665921,0.030654728,0.030644657,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592,0.030635592
"kalf_o(k,i08)",0.0039368002,-0.00021352,0.0087853,0.033348002,0.021260999,-0.0052387998,-0.0043123998,-0.020629,-0.024792001,-0.039110001,-0.040327001,-0.034968,0.014134,0.0072011999,-0.016803,-0.010015,-0.027992001,-0.067905001,-0.079954997,-0.077950001,-0.067933999,-0.047097001,-0.017749,0.0027492,0.041143999,0.052545,0.02234,0.035735998,0.00035315999,0.01347,0.025110001,0.011889,0.025816999,0.076399997,0.080688,0.093811996,0.076858997,0.042831998,-0.021547001,-0.053505,-0.083397001,-0.1303,-0.12034,-0.10311,-0.055783,-0.060268998,-0.061071999,-0.055819999,-0.031923998,-0.046739001,-0.013224,-0.031257,-0.033803999,-0.034131002,-0.033874001,-0.033535,-0.033234999,-0.032993998,-0.032806002,-0.032660998,-0.032549001,-0.032462999,-0.032396,-0.032345001,-0.032304998,-0.032274999,-0.032251,-0.032233,-0.032219,-0.032207999,-0.032200001,-0.032194,-0.032189,-0.032184999,-0.032182001,-0.03218,-0.032178,-0.032175999,-0.032175001,-0.032175001,-0.032173999,-0.032173,-0.032173,-0.032173,-0.032173,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998,-0.032171998
"kalf_o(k,i09)",-0.0020116,-0.001984,0.0025171,0.0020832999,0.00049775001,-0.0026320999,-0.00016816,0.0042027002,0.0074628,0.0052188998,0.011253,0.0035482,-0.0016290999,-0.00048198999,0.0021968,-0.002601,0.0021436,0.0035073999,0.0064686001,0.0027336001,0.0019566,0.00021956,0.0048723002,-0.0010587,-0.0058158999,-0.0090966998,-0.011215,-0.011696,-0.011111,-0.0093440004,-0.0096835997,-0.0091901999,-0.0095349997,-0.0045655002,0.00434,0.0076267999,0.015041,0.021132,0.027004,0.028538,0.030066,0.031214001,0.037048999,0.040589001,0.043056998,0.042318001,0.041244999,0.030684,0.01588,0.016350999,0.016278001,0.017444,0.021060999,0.024416,0.026577,0.027474999,0.027377,0.026613001,0.025471,0.024156,0.022805,0.021497,0.020274,0.019156,0.018149,0.017251,0.016458999,0.015765,0.015163,0.014644,0.014202,0.01383,0.013519,0.013263,0.013055,0.012889,0.01276,0.012661,0.012589,0.012538,0.012505,0.012487,0.01248,0.012482,0.012492,0.012506,0.012524,0.012544,0.012565,0.012587,0.012609,0.0126288,0.01264662,0.012662658,0.012677092,0.012690083,0.012701775,0.012712297,0.012721768,0.012730291,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961,0.012737961
"kalf_o(k,i10)",0.0046525998,0.0094646998,0.010188,0.0089584999,0.0099780997,0.0096904002,0.0077760001,0.0063441,0.0087746,0.0092962002,0.00061803003,-0.0019692001,-0.0017742,0.0026401,0.0035345999,0.0036134,0.0086003998,0.0028703001,0.0026173999,-0.0022434001,-0.0084300004,-0.0083891004,-0.0068854,-0.0071831001,-0.0045051998,-0.00096067,0.0044638002,0.0094608003,0.013244,0.016166,0.01296,0.011991,0.0072293999,0.0090701003,0.017999999,0.026609,0.018794,0.0085234996,0.0065867999,0.012135,0.01088,-0.00011907,-0.0041077002,-0.0090650003,-0.00097311998,-0.00079982,0.0041075,-0.00021642999,-0.0060657002,0.017790001,0.013009,0.0075228,0.0057339999,0.0051624002,0.0048652999,0.0045996001,0.0043382002,0.0040930002,0.0038723999,0.0036778001,0.0035075999,0.0033589001,0.0032291,0.0031157001,0.0030165999,0.0029301001,0.0028546001,0.0027886,0.0027310001,0.0026805999,0.0026366999,0.0025983001,0.0025647001,0.0025354,0.0025098,0.0024875,0.0024679999,0.0024508999,0.0024359999,0.0024230001,0.0024117001,0.0024017,0.0023930999,0.0023854999,0.0023789001,0.0023731,0.0023681,0.0023637,0.0023598,0.0023564999,0.0023535001,0.0023508,0.0023483699,0.0023461829,0.0023442146,0.0023424432,0.002340849,0.0023394141,0.0023381226,0.0023369603,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144,0.0023359144
