name,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
"make_col(i01,c01)",0.99599582,0.99615967,0.99650955,0.99618459,0.99551952,0.99497157,0.99413127,0.99360055,0.99268919,0.99298394,0.99198323,0.99149764,0.99162591,0.99168044,0.9894734,0.99133116,0.99031234,0.99079859,0.99124962,0.98996818,0.98984867,0.98949814,0.98875797,0.98819643,0.98802865,0.98653036,0.98596084,0.98451024,0.98300856,0.98286653,0.98338443,0.98430568,0.9850198,0.98459017,0.98578894,0.98635852,0.98660874,0.98832041,0.98951757,0.99073029,0.9898265,0.98961318,0.98813862,0.98902786,0.98904914,0.98943245,0.98978621,0.98465168,0.9864459,0.98876566,0.98985976,0.9873423,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653,0.98721653
"make_col(i01,c02)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c04)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c06)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c09)",1.6284162e-005,1.7135631e-005,1.6813165e-005,1.6147678e-005,1.6261169e-005,1.6390282e-005,1.6132877e-005,1.5571502e-005,1.5637883e-005,1.5557311e-005,1.4285919e-005,1.2972655e-005,1.0934958e-005,9.1896782e-006,8.6159789e-006,1.6541144e-005,2.451362e-005,3.2126773e-005,4.4707376e-005,5.6965579e-005,4.8069196e-005,4.2866704e-005,3.5756249e-005,2.8898266e-005,2.3586976e-005,2.1349069e-005,1.8861816e-005,1.7882419e-005,1.7742615e-005,2.1420814e-005,2.3904013e-005,2.3664323e-005,2.627062e-005,2.8926745e-005,3.2550386e-005,2.6542493e-005,1.8959045e-005,1.255161e-005,5.6428657e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_col(i01,c10)",0.012103078,0.0081492215,0.0065460578,0.0045835194,0.0022530488,0,0,0,0,0,0,0,0,0,0,0.00026149303,0.00047399249,0.00073105976,0.00084821088,0.00093911402,0.00098014204,0.0010232328,0.0010151939,0.00096861861,0.0010156134,0.00072637229,0.00059563416,0.00046528748,0.00031063901,0.00019776194,0.00018606111,0.00018309228,0.00018345719,0.00017830903,0.00016553269,0.00016782519,0.00016953245,0.00015870039,0.00018213778,0.00019276264,0.00020154253,0.0001749519,7.4795178e-005,7.1567389e-005,7.1183655e-005,5.8798571e-005,6.3015264e-005,6.3270294e-005,6.1735424e-005,4.7748374e-005,4.9865776e-005,5.4319109e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005,5.1666884e-005
